userid,ATMS_1,ATMS_2,ATMS_3,ATMS_4,ATMS_5,ATMS_6,ATMS_7,ATMS_8,max_TMS_1,max_TMS_2,max_TMS_3,max_TMS_4,max_TMS_5,max_TMS_6,max_TMS_7,max_TMS_8,min_TMS_1,min_TMS_2,min_TMS_3,min_TMS_4,min_TMS_5,min_TMS_6,min_TMS_7,min_TMS_8,length_1,length_2,length_3,length_4,length_5,length_6,length_7,length_8,accel_x_1,accel_x_2,accel_x_3,accel_x_4,accel_x_5,accel_x_6,accel_x_7,accel_x_8,accel_y_1,accel_y_2,accel_y_3,accel_y_4,accel_y_5,accel_y_6,accel_y_7,accel_y_8,accel_z_1,accel_z_2,accel_z_3,accel_z_4,accel_z_5,accel_z_6,accel_z_7,accel_z_8,max_accel_x_1,max_accel_x_2,max_accel_x_3,max_accel_x_4,max_accel_x_5,max_accel_x_6,max_accel_x_7,max_accel_x_8,min_accel_x_1,min_accel_x_2,min_accel_x_3,min_accel_x_4,min_accel_x_5,min_accel_x_6,min_accel_x_7,min_accel_x_8,max_accel_y_1,max_accel_y_2,max_accel_y_3,max_accel_y_4,max_accel_y_5,max_accel_y_6,max_accel_y_7,max_accel_y_8,min_accel_y_1,min_accel_y_2,min_accel_y_3,min_accel_y_4,min_accel_y_5,min_accel_y_6,min_accel_y_7,min_accel_y_8,max_accel_z_1,max_accel_z_2,max_accel_z_3,max_accel_z_4,max_accel_z_5,max_accel_z_6,max_accel_z_7,max_accel_z_8,min_accel_z_1,min_accel_z_2,min_accel_z_3,min_accel_z_4,min_accel_z_5,min_accel_z_6,min_accel_z_7,min_accel_z_8,total_accel_1,total_accel_2,total_accel_3,total_accel_4,total_accel_5,total_accel_6,total_accel_7,total_accel_8,gyro_x_1,gyro_x_2,gyro_x_3,gyro_x_4,gyro_x_5,gyro_x_6,gyro_x_7,gyro_x_8,gyro_y_1,gyro_y_2,gyro_y_3,gyro_y_4,gyro_y_5,gyro_y_6,gyro_y_7,gyro_y_8,gyro_z_1,gyro_z_2,gyro_z_3,gyro_z_4,gyro_z_5,gyro_z_6,gyro_z_7,gyro_z_8,max_gyro_x_1,max_gyro_x_2,max_gyro_x_3,max_gyro_x_4,max_gyro_x_5,max_gyro_x_6,max_gyro_x_7,max_gyro_x_8,min_gyro_x_1,min_gyro_x_2,min_gyro_x_3,min_gyro_x_4,min_gyro_x_5,min_gyro_x_6,min_gyro_x_7,min_gyro_x_8,max_gyro_y_1,max_gyro_y_2,max_gyro_y_3,max_gyro_y_4,max_gyro_y_5,max_gyro_y_6,max_gyro_y_7,max_gyro_y_8,min_gyro_y_1,min_gyro_y_2,min_gyro_y_3,min_gyro_y_4,min_gyro_y_5,min_gyro_y_6,min_gyro_y_7,min_gyro_y_8,max_gyro_z_1,max_gyro_z_2,max_gyro_z_3,max_gyro_z_4,max_gyro_z_5,max_gyro_z_6,max_gyro_z_7,max_gyro_z_8,min_gyro_z_1,min_gyro_z_2,min_gyro_z_3,min_gyro_z_4,min_gyro_z_5,min_gyro_z_6,min_gyro_z_7,min_gyro_z_8,total_gyro_1,total_gyro_2,total_gyro_3,total_gyro_4,total_gyro_5,total_gyro_6,total_gyro_7,total_gyro_8
AkuXO1X9V7QUWMjUGTgbYQis8wO2,1.80359004022506e-06,1.43821045079684e-06,1.11726637457353e-06,,,,,2.18772795027866e-06,3.41703156594379e-06,1.43821045079684e-06,2.32929997279896e-06,,,,,3.79756496097334e-06,2.5068512349533e-07,1.43821045079684e-06,1.973134328358e-08,,,,,1.0136473745835e-07,161.963867,23.011367,234.757541,,,,,370.042053,-1.14,-1.23195,-1.4304,,,,,-2.293012,6.71157,6.58905,6.638625,,,,,7.955006,7.05441,6.78,7.327215,,,,,4.533375,-0.504,-1.23195,-1.12695,,,,,-1.26105,-2.17995,-1.23195,-1.77795,,,,,-2.487,7.575,6.58905,6.76095,,,,,8.38005,6.25395,6.58905,6.39705,,,,,6.44505,8.19795,6.78,7.863,,,,,8.13105,5.727,6.78,6.84705,,,,,2.05905,9.872135,9.534237,9.995101,,,,,9.603164,-0.41855,-1.20409,-3.013352,,,,,0.809617,0.843591,1.00911,7.356157,,,,,1.003046,0.552475,1.36496,6.296692,,,,,0.201713,0.442887,-1.20409,1.05064,,,,,2.36445,-2.54471,-1.20409,-6.06512,,,,,-3.38071,2.01204,1.00911,18.0185,,,,,3.41784,0.446875,1.00911,-5.21991,,,,,-0.204462,1.94425,1.36496,15.0666,,,,,2.99516,0.135988,1.36496,-5.84334,,,,,-1.40937,1.280807,2.081166,12.521299,,,,,2.235168
AkuXO1X9V7QUWMjUGTgbYQis8wO2,2.21963343434696e-06,5.5534003018659e-07,1.42378042283702e-06,,6.342521710795e-08,,,2.58466398841371e-06,4.07247165030778e-06,5.5534003018659e-07,2.74850352464755e-06,,6.342521710795e-08,,,4.24960280726696e-06,7.62380952381e-08,5.5534003018659e-07,1.13e-07,,6.342521710795e-08,,,4.853140815858e-08,339.223239,18.326221,218.404178,,5.264293,,,182.861985,-1.9086,-1.395,-1.57055,,-1.299,,,-1.992,7.500019,6.68505,6.74335,,6.55995,,,7.50835,5.619,6.34005,7.234683,,7.23,,,4.92865,-0.68595,-1.395,-1.29,,-1.299,,,-0.93495,-2.52495,-1.395,-1.90305,,-1.299,,,-2.535,8.38005,6.68505,6.98205,,6.55995,,,8.18805,6.24405,6.68505,6.378,,6.55995,,,6.25395,8.025,6.34005,8.025,,7.23,,,8.08305,3.333,6.34005,6.531,,7.23,,,3.07395,9.784931,9.318377,10.023918,,9.848515,,,9.524766,1.191524,-2.71837,-3.729107,,1.52034,,,0.66133,-0.117804,7.07396,8.831753,,-6.59835,,,0.100377,-0.646389,7.25354,8.010775,,-7.23415,,,-0.339397,2.75564,-2.71837,-0.297412,,1.52034,,,2.00434,-0.314325,-2.71837,-6.57374,,1.52034,,,-1.94494,0.728337,7.07396,21.0016,,-6.59835,,,1.37308,-2.49535,7.07396,-0.722287,,-6.59835,,,-0.801212,0.213537,7.25354,19.5497,,-7.23415,,,1.50109,-3.26178,7.25354,-0.704962,,-7.23415,,,-1.46438,1.86657,10.4902,12.795822,,9.908712,,,2.547747
AkuXO1X9V7QUWMjUGTgbYQis8wO2,1.74732857862873e-06,,8.8996051868034e-07,,1.9905001280174e-07,,,1.99653835354159e-06,3.54621155347532e-06,,2.37470021491696e-06,,1.9905001280174e-07,,,4.53605994068278e-06,3.535593220339e-08,,2.326829268293e-08,,1.9905001280174e-07,,,5.14582658569e-08,355.8664,,194.164161,,8.360101,,,101.771998,-2.094105,,-1.829162,,-1.60605,,,-2.39735,7.257495,,6.593925,,6.33,,,7.57535,5.922195,,7.116513,,7.566,,,5.0817,-1.60605,,-1.57695,,-1.60605,,,-1.88295,-2.60205,,-2.094,,-1.60605,,,-2.70705,8.14095,,6.828,,6.33,,,8.18805,6.45495,,6.43605,,6.33,,,6.474,7.671,,7.38405,,7.566,,,7.69005,3.285,,6.867,,7.566,,,3.61005,9.731225,,9.875267,,9.994631,,,9.640962,0.502838,,-2.155496,,1.9338,,,0.515947,0.257647,,4.275281,,-6.97428,,,0.186223,-0.100018,,3.634528,,-7.53954,,,-0.214088,2.58761,,3.2065,,1.9338,,,2.1615,-2.75756,,-7.45869,,1.9338,,,-2.66654,1.56667,,21.7515,,-6.97428,,,1.29058,-1.65866,,-11.5576,,-6.97428,,,-0.6325,1.64312,,19.5826,,-7.53954,,,1.50466,-2.52051,,-12.5538,,-7.53954,,,-1.3475,1.579586,,12.687988,,10.451068,,,2.717473
AkuXO1X9V7QUWMjUGTgbYQis8wO2,1.6335524129317e-06,1.35486849851813e-06,7.3628115603383e-07,,,,,1.07272244486827e-06,3.01677311887739e-06,2.11244853421062e-06,1.7839375e-06,,,,,2.61801378003123e-06,5.176470588235e-08,6.683883900847e-08,1.0017647058823e-07,,,,,1.0012191494965e-07,345.944327,101.469065,107.488874,,,,,102.004227,-2.252468,-2.107,-1.987387,,,,,-2.3687,7.449286,7.11895,6.9135,,,,,7.73535,5.8731,6.25965,6.789994,,,,,5.05935,-1.74,-1.87395,-1.81605,,,,,-1.96005,-2.70705,-2.286,-2.12295,,,,,-2.60205,7.94895,7.20195,6.963,,,,,8.14095,7.03005,7.00095,6.85695,,,,,7.03905,7.125,6.36795,7.18305,,,,,6.94305,4.70205,6.19605,6.45495,,,,,3.87795,9.799105,9.712184,9.893522,,,,,9.648256,0.146652,-1.816373,-0.295762,,,,,0.915748,0.484913,3.23973,-0.087776,,,,,0.014483,0.23045,2.890297,-0.094738,,,,,-0.363917,1.81184,-1.50494,1.36675,,,,,1.81651,-2.07542,-2.26242,-3.07037,,,,,-0.665225,0.78485,4.97929,7.99494,,,,,0.297137,0.21615,1.9382,-5.14869,,,,,-0.333575,0.907637,4.42915,7.33329,,,,,0.329175,-0.341688,1.74501,-4.774,,,,,-0.935687,1.352585,4.720376,6.924569,,,,,1.513291
AkuXO1X9V7QUWMjUGTgbYQis8wO2,1.17462471950098e-06,1.05726566704953e-06,1.51057784790441e-06,,,,,2.22904331155766e-06,3.235375e-06,2.24196160093548e-06,2.4321875e-06,,,,,3.59398615800148e-06,1.9947685906149e-07,8.843308292856e-08,6.287755102041e-08,,,,,1.1716808380097e-07,171.567913,133.443188,109.20606,,,,,289.455354,-2.062564,-2.086029,-2.0207,,,,,-2.53765,7.275879,7.067871,7.0837,,,,,7.826175,6.489,6.645,6.28235,,,,,4.889,-1.701,-1.96005,-1.95,,,,,-2.13195,-2.50605,-2.247,-2.15205,,,,,-2.77395,7.84395,7.212,7.18305,,,,,8.18805,7.05795,6.876,6.99105,,,,,7.212,6.94305,7.08705,6.483,,,,,7.02,5.277,5.823,6.024,,,,,3.80205,9.983127,9.931762,9.683761,,,,,9.647825,-0.456616,-1.216482,-1.552237,,,,,1.085745,0.403288,1.42825,3.30188,,,,,0.094462,0.371367,1.266494,2.79235,,,,,-0.291019,1.29759,1.64546,1.0362,,,,,2.15091,-1.93256,-2.69761,-2.94594,,,,,-1.51676,0.926337,6.80323,7.63249,,,,,0.882062,0.102987,-6.55573,-3.94556,,,,,-0.414288,1.08267,6.03859,6.644,,,,,0.915062,-0.174763,-5.90452,-3.62986,,,,,-0.8195,1.132336,5.949194,8.219603,,,,,1.769764
AkuXO1X9V7QUWMjUGTgbYQis8wO2,1.4837042239942e-06,1.20820291109742e-06,2.4416066152621e-07,,,,4.083686089798e-08,3.07262116800622e-06,2.97231818330617e-06,2.7379573455007e-06,5.9927639960623e-07,,,,4.083686089798e-08,4.28433403311021e-06,1.2881541741851e-07,1.6882424292737e-07,2.380952380952e-08,,,,4.083686089798e-08,1.24476080941531e-06,167.603648,249.19026,18.225422,,,,3.797828,264.311663,-2.14185,-2.17929,-2.113012,,,,-2.66895,-2.848238,7.43185,7.32741,7.1445,,,,8.169,8.01855,6.212025,6.1932,6.495225,,,,3.71595,4.38375,-1.82595,-1.989,-1.93095,,,,-2.66895,-2.65005,-2.51505,-2.41995,-2.30505,,,,-2.66895,-2.97495,7.863,7.48905,7.221,,,,8.169,8.17905,7.23105,7.164,7.03905,,,,8.169,7.93005,6.74205,6.83805,6.732,,,,3.71595,4.66395,5.20005,5.64105,6.36795,,,,3.71595,4.137,9.940456,9.844881,9.885123,,,,9.362913,9.575323,0.127142,-1.312409,0.166684,,,,1.83549,1.519135,0.333277,1.538845,-1.093468,,,,-0.815925,-0.075487,0.167429,1.473574,-0.895056,,,,-1.3013,-0.588569,1.24245,-0.774262,0.371388,,,,1.83549,1.59349,-1.77581,-1.80881,-0.28215,,,,1.83549,1.46451,0.64735,3.13748,0.0319,,,,-0.815925,0.17765,0.159087,0.3333,-1.60586,,,,-0.815925,-0.29205,0.939125,2.80789,0.148088,,,,-1.3013,-0.379775,-0.164587,0.448938,-1.37101,,,,-1.3013,-0.7238,0.896581,2.605556,1.542883,,,,2.393353,1.644224
AkuXO1X9V7QUWMjUGTgbYQis8wO2,1.43888086545063e-06,1.55180501278636e-06,5.9484708860642e-07,,,,,2.00642171069286e-06,2.96940211043911e-06,3.15029122475704e-06,5.9484708860642e-07,,,,,3.81130030077649e-06,1.2749655642733e-07,7.75463027213e-08,5.9484708860642e-07,,,,,7.76514894182e-08,248.679373,242.007859,10.112401,,,,,237.546851,-2.233987,-2.216025,-2.26605,,,,,-2.645421,7.539488,7.351912,7.33605,,,,,8.007707,5.917256,6.246488,6.35895,,,,,4.435414,-1.749,-2.05605,-2.26605,,,,,-2.19,-2.784,-2.343,-2.26605,,,,,-2.82195,8.04495,7.48005,7.33605,,,,,8.23605,7.25895,7.23105,7.33605,,,,,7.518,6.64605,6.50295,6.35895,,,,,6.20595,4.72095,5.928,6.35895,,,,,2.92095,9.874718,9.900475,9.969396,,,,,9.582774,0.019956,-1.467951,-0.793238,,,,,1.305799,0.357328,2.146994,1.36139,,,,,-0.73431,0.162783,1.915683,1.32825,,,,,-1.020701,1.47263,0.246263,-0.793238,,,,,2.70531,-2.12726,-2.19216,-0.793238,,,,,-1.04871,0.861987,5.00362,1.36139,,,,,0.583412,-0.18645,-1.58716,1.36139,,,,,-2.56919,1.09065,4.29481,1.32825,,,,,0.592488,-0.6347,-1.24699,1.32825,,,,,-2.93782,1.160256,3.797299,2.06079,,,,,2.295998
AkuXO1X9V7QUWMjUGTgbYQis8wO2,1.53073389364228e-06,1.18070110978946e-06,1.22590305652677e-06,,,,,2.59773711459465e-06,3.33738123033053e-06,1.78770690345377e-06,2.77211764705883e-06,,,,,3.61359860032775e-06,1.3153341044116e-07,5.7369531612516e-07,1.1833333333333e-07,,,,,5.5600158495426e-07,201.39268,48.108951,166.676166,,,,,245.623434,-2.142,-1.9455,-2.111006,,,,,-2.747738,7.244293,6.699525,6.859613,,,,,8.016,6.291836,6.531,6.876262,,,,,4.3575,-1.82595,-1.93095,-1.95,,,,,-2.535,-2.592,-1.96005,-2.40105,,,,,-2.889,7.75695,6.78105,7.20195,,,,,8.18805,6.89505,6.618,6.40695,,,,,7.79595,7.41195,6.66495,8.45595,,,,,5.028,5.06595,6.39705,6.18705,,,,,3.21795,9.879685,9.557509,9.971667,,,,,9.554775,0.373862,-1.388885,-1.815961,,,,,1.662032,0.156887,1.882995,1.894218,,,,,-0.002647,0.001139,1.804825,1.966766,,,,,-0.50411,1.17026,-1.25276,-1.20257,,,,,2.14088,-0.872437,-1.52501,-2.34671,,,,,1.23819,0.292325,2.40639,4.5716,,,,,0.100375,0.116187,1.3596,0.312537,,,,,-0.247225,0.428313,2.27439,4.3703,,,,,-0.290675,-0.238425,1.33526,0.49775,,,,,-0.887425,0.714891,2.962986,3.504273,,,,,1.745882
AkuXO1X9V7QUWMjUGTgbYQis8wO2,1.55223761547765e-06,1.78077159629665e-06,1.07138012204449e-06,2.6079785049845e-07,,,,3.06126936396305e-06,3.45497098971791e-06,2.45613192197937e-06,2.67487944821818e-06,2.6079785049845e-07,,,,4.38136082063838e-06,9.27092921763e-08,1.04941510319965e-06,1.3024652106678e-07,2.6079785049845e-07,,,,1.3932466910619e-07,227.045165,160.67268,87.925372,8.606329,,,,214.234306,-2.126871,-2.120512,-2.28381,-2.094,,,,-2.771475,7.23615,7.0725,7.10439,6.88605,,,,8.023275,6.494314,6.248512,6.79758,6.924,,,,3.97425,-1.88295,-2.00805,-2.20905,-2.094,,,,-2.58195,-2.496,-2.19,-2.41005,-2.094,,,,-2.91795,7.77705,7.08705,7.20195,6.88605,,,,8.23605,6.93405,7.04895,7.00095,6.88605,,,,7.815,7.19205,6.55005,7.24995,6.924,,,,4.79805,5.44905,6.06195,6.25395,6.924,,,,3.30405,9.980733,9.673831,10.098905,9.987207,,,,9.391404,0.284448,-2.53282,-1.908144,0.270187,,,,2.137335,0.289791,5.43015,1.412428,-1.93655,,,,-0.655978,0.096643,4.949518,1.530044,-1.73195,,,,-1.231311,1.4333,-2.37243,-1.37239,0.270187,,,,2.28814,-1.33664,-2.72883,-2.26806,0.270187,,,,1.7897,0.376337,6.59945,3.02954,-1.93655,,,,-0.151387,0.122925,3.64031,0.55055,-1.93655,,,,-1.26335,0.578875,6.0599,2.86797,-1.73195,,,,-0.672925,-0.336462,3.34455,0.940225,-1.73195,,,,-1.80262,0.869052,7.785967,2.98176,2.612064,,,,2.587018
AkuXO1X9V7QUWMjUGTgbYQis8wO2,1.59840352486228e-06,1.68610061475864e-06,6.8895924216835e-07,,,,,2.54022491633258e-06,2.49741775636896e-06,3.05327072579554e-06,2.53206874148229e-06,,,,,3.92698006168153e-06,4.4910778195924e-07,3.5409295651695e-07,5.425138981076e-08,,,,,1.2756541021883e-07,140.81604,144.949317,102.745983,,,,,315.962342,-2.196,-2.22819,-2.30658,,,,,-2.59515,7.36482,7.19403,7.26321,,,,,7.8595,6.4128,6.30318,6.5466,,,,,4.671675,-1.90305,-2.15205,-2.12295,,,,,-1.941,-2.46795,-2.33295,-2.46795,,,,,-2.97495,7.671,7.28805,7.40295,,,,,8.23605,7.13505,7.14405,7.04895,,,,,7.08705,6.75195,6.66495,7.00095,,,,,6.43605,5.68905,5.91795,6.05205,,,,,3.13095,10.020426,9.823579,10.053513,,,,,9.56819,0.726439,-1.201668,-1.215774,,,,,1.258653,0.06776,1.656903,0.699572,,,,,-0.509025,-0.19833,1.5686,0.822084,,,,,-0.78407,1.29511,-1.15349,-0.236088,,,,,2.58417,0.051975,-1.28109,-2.17786,,,,,-0.16225,0.168162,2.46565,1.59651,,,,,0.145612,-0.145337,0.751713,-0.009488,,,,,-1.71201,0.033275,2.2737,1.51552,,,,,0.139013,-0.557012,0.797638,0.073012,,,,,-2.1373,0.781207,2.609624,1.707054,,,,,1.674483
